순번,기준년,기준월,행정동코드,행정동명,성별코드,성별,요일코드,요일,시간대코드,시간대,유동인구수,시간당 평균 유동인구수,데이터생성일자
155,2021,1,3017053000,도마2동,f,여성,1,월요일,3,퇴근,25975.1,12987.55,20230104
156,2021,1,3017053000,도마2동,m,남성,1,월요일,3,퇴근,27684.5,13842.25,20230104
157,2021,1,3017053000,도마2동,f,여성,1,월요일,4,저녁,52181.55,13045.39,20230104
158,2021,1,3017053000,도마2동,m,남성,1,월요일,4,저녁,54341.1,13585.28,20230104
159,2021,1,3017053000,도마2동,f,여성,1,월요일,5,야간,20344.24,2906.32,20230104
160,2021,1,3017053000,도마2동,m,남성,1,월요일,5,야간,25899.27,3699.9,20230104
161,2021,1,3017053000,도마2동,f,여성,2,화요일,1,출근,12028.2,6014.1,20230104
162,2021,1,3017053000,도마2동,m,남성,2,화요일,1,출근,13493.01,6746.51,20230104
163,2021,1,3017053000,도마2동,f,여성,2,화요일,2,주간,103610.27,11512.25,20230104
164,2021,1,3017053000,도마2동,m,남성,2,화요일,2,주간,105536.67,11726.3,20230104
165,2021,1,3017053000,도마2동,f,여성,2,화요일,3,퇴근,26258.32,13129.16,20230104
166,2021,1,3017053000,도마2동,m,남성,2,화요일,3,퇴근,27451.5,13725.75,20230104
167,2021,1,3017053000,도마2동,f,여성,2,화요일,4,저녁,52152.51,13038.13,20230104
168,2021,1,3017053000,도마2동,m,남성,2,화요일,4,저녁,54247.89,13561.97,20230104
169,2021,1,3017053000,도마2동,f,여성,2,화요일,5,야간,20322.15,2903.17,20230104
170,2021,1,3017053000,도마2동,m,남성,2,화요일,5,야간,24076.33,3439.48,20230104
171,2021,1,3017053000,도마2동,f,여성,3,수요일,1,출근,12041.86,6020.93,20230104
172,2021,1,3017053000,도마2동,m,남성,3,수요일,1,출근,13827.45,6913.73,20230104
173,2021,1,3017053000,도마2동,f,여성,3,수요일,2,주간,105000.88,11666.76,20230104
174,2021,1,3017053000,도마2동,m,남성,3,수요일,2,주간,104556.8,11617.42,20230104
175,2021,1,3017053000,도마2동,f,여성,3,수요일,3,퇴근,26211.76,13105.88,20230104
176,2021,1,3017053000,도마2동,m,남성,3,수요일,3,퇴근,27324.41,13662.21,20230104
177,2021,1,3017053000,도마2동,f,여성,3,수요일,4,저녁,53016.01,13254,20230104
178,2021,1,3017053000,도마2동,m,남성,3,수요일,4,저녁,54891.01,13722.75,20230104
179,2021,1,3017053000,도마2동,f,여성,3,수요일,5,야간,20200.4,2885.77,20230104
180,2021,1,3017053000,도마2동,m,남성,3,수요일,5,야간,24598.67,3514.1,20230104
181,2021,1,3017053000,도마2동,f,여성,4,목요일,1,출근,11965.24,5982.62,20230104
182,2021,1,3017053000,도마2동,m,남성,4,목요일,1,출근,13695.77,6847.89,20230104
183,2021,1,3017053000,도마2동,f,여성,4,목요일,2,주간,101627.71,11291.97,20230104
184,2021,1,3017053000,도마2동,m,남성,4,목요일,2,주간,103227.44,11469.72,20230104
185,2021,1,3017053000,도마2동,f,여성,4,목요일,3,퇴근,25734.8,12867.4,20230104
186,2021,1,3017053000,도마2동,m,남성,4,목요일,3,퇴근,27487.96,13743.98,20230104
187,2021,1,3017053000,도마2동,f,여성,4,목요일,4,저녁,51777.12,12944.28,20230104
188,2021,1,3017053000,도마2동,m,남성,4,목요일,4,저녁,54397.71,13599.43,20230104
189,2021,1,3017053000,도마2동,f,여성,4,목요일,5,야간,20292.79,2898.97,20230104
190,2021,1,3017053000,도마2동,m,남성,4,목요일,5,야간,24871.57,3553.08,20230104
191,2021,1,3017053000,도마2동,f,여성,5,금요일,1,출근,14723.15,7361.58,20230104
192,2021,1,3017053000,도마2동,m,남성,5,금요일,1,출근,16749.49,8374.75,20230104
193,2021,1,3017053000,도마2동,f,여성,5,금요일,2,주간,122942.14,13660.24,20230104
194,2021,1,3017053000,도마2동,m,남성,5,금요일,2,주간,125991.61,13999.07,20230104
195,2021,1,3017053000,도마2동,f,여성,5,금요일,3,퇴근,31424.78,15712.39,20230104
196,2021,1,3017053000,도마2동,m,남성,5,금요일,3,퇴근,33469.45,16734.73,20230104
197,2021,1,3017053000,도마2동,f,여성,5,금요일,4,저녁,63311.54,15827.88,20230104
198,2021,1,3017053000,도마2동,m,남성,5,금요일,4,저녁,66990.75,16747.69,20230104
199,2021,1,3017053000,도마2동,f,여성,5,금요일,5,야간,26617.29,3802.47,20230104
200,2021,1,3017053000,도마2동,m,남성,5,금요일,5,야간,32227.27,4603.9,20230104
201,2021,1,3017053000,도마2동,f,여성,6,토요일,1,출근,13278.77,6639.39,20230104
202,2021,1,3017053000,도마2동,m,남성,6,토요일,1,출근,16161.39,8080.7,20230104
203,2021,1,3017053000,도마2동,f,여성,6,토요일,2,주간,114058.5,12673.17,20230104
204,2021,1,3017053000,도마2동,m,남성,6,토요일,2,주간,123669.75,13741.08,20230104
205,2021,1,3017053000,도마2동,f,여성,6,토요일,3,퇴근,30244.94,15122.47,20230104
206,2021,1,3017053000,도마2동,m,남성,6,토요일,3,퇴근,33751.47,16875.74,20230104
207,2021,1,3017053000,도마2동,f,여성,6,토요일,4,저녁,61771.16,15442.79,20230104
208,2021,1,3017053000,도마2동,m,남성,6,토요일,4,저녁,67085.65,16771.41,20230104
209,2021,1,3017053000,도마2동,f,여성,6,토요일,5,야간,27775.76,3967.97,20230104
210,2021,1,3017053000,도마2동,m,남성,6,토요일,5,야간,34403.81,4914.83,20230104
211,2021,1,3017053500,정림동,f,여성,0,일요일,1,출근,9857.63,4928.82,20230104
212,2021,1,3017053500,정림동,m,남성,0,일요일,1,출근,10487.85,5243.93,20230104
213,2021,1,3017053500,정림동,f,여성,0,일요일,2,주간,78577.04,8730.78,20230104
214,2021,1,3017053500,정림동,m,남성,0,일요일,2,주간,82178.7,9130.97,20230104
215,2021,1,3017053500,정림동,f,여성,0,일요일,3,퇴근,21583.48,10791.74,20230104
216,2021,1,3017053500,정림동,m,남성,0,일요일,3,퇴근,21752.52,10876.26,20230104
217,2021,1,3017053500,정림동,f,여성,0,일요일,4,저녁,43052,10763,20230104
218,2021,1,3017053500,정림동,m,남성,0,일요일,4,저녁,41459.49,10364.87,20230104
219,2021,1,3017053500,정림동,f,여성,0,일요일,5,야간,18567.16,2652.45,20230104
220,2021,1,3017053500,정림동,m,남성,0,일요일,5,야간,20968.47,2995.5,20230104
221,2021,1,3017053500,정림동,f,여성,1,월요일,1,출근,7992.43,3996.22,20230104
222,2021,1,3017053500,정림동,m,남성,1,월요일,1,출근,8052.03,4026.02,20230104
223,2021,1,3017053500,정림동,f,여성,1,월요일,2,주간,67137.89,7459.77,20230104
224,2021,1,3017053500,정림동,m,남성,1,월요일,2,주간,61913.6,6879.29,20230104
225,2021,1,3017053500,정림동,f,여성,1,월요일,3,퇴근,18529.61,9264.81,20230104
226,2021,1,3017053500,정림동,m,남성,1,월요일,3,퇴근,17552.32,8776.16,20230104
227,2021,1,3017053500,정림동,f,여성,1,월요일,4,저녁,36908.56,9227.14,20230104
228,2021,1,3017053500,정림동,m,남성,1,월요일,4,저녁,34922.33,8730.58,20230104
229,2021,1,3017053500,정림동,f,여성,1,월요일,5,야간,13353.17,1907.6,20230104
230,2021,1,3017053500,정림동,m,남성,1,월요일,5,야간,14681.57,2097.37,20230104
231,2021,1,3017053500,정림동,f,여성,2,화요일,1,출근,7956.61,3978.31,20230104
232,2021,1,3017053500,정림동,m,남성,2,화요일,1,출근,8005.88,4002.94,20230104
233,2021,1,3017053500,정림동,f,여성,2,화요일,2,주간,66595.39,7399.49,20230104
234,2021,1,3017053500,정림동,m,남성,2,화요일,2,주간,60605.71,6733.97,20230104
235,2021,1,3017053500,정림동,f,여성,2,화요일,3,퇴근,18580.69,9290.35,20230104
236,2021,1,3017053500,정림동,m,남성,2,화요일,3,퇴근,17271.54,8635.77,20230104
237,2021,1,3017053500,정림동,f,여성,2,화요일,4,저녁,37200.53,9300.13,20230104
238,2021,1,3017053500,정림동,m,남성,2,화요일,4,저녁,34645.1,8661.27,20230104
239,2021,1,3017053500,정림동,f,여성,2,화요일,5,야간,12773.31,1824.76,20230104
240,2021,1,3017053500,정림동,m,남성,2,화요일,5,야간,13937.02,1991,20230104
241,2021,1,3017053500,정림동,f,여성,3,수요일,1,출근,8184.21,4092.11,20230104
242,2021,1,3017053500,정림동,m,남성,3,수요일,1,출근,8103.21,4051.61,20230104
243,2021,1,3017053500,정림동,f,여성,3,수요일,2,주간,66944.64,7438.29,20230104
244,2021,1,3017053500,정림동,m,남성,3,수요일,2,주간,60428.28,6714.25,20230104
245,2021,1,3017053500,정림동,f,여성,3,수요일,3,퇴근,18492.5,9246.25,20230104
246,2021,1,3017053500,정림동,m,남성,3,수요일,3,퇴근,17363.25,8681.63,20230104
247,2021,1,3017053500,정림동,f,여성,3,수요일,4,저녁,37426.77,9356.69,20230104
248,2021,1,3017053500,정림동,m,남성,3,수요일,4,저녁,34841,8710.25,20230104
249,2021,1,3017053500,정림동,f,여성,3,수요일,5,야간,12799.54,1828.51,20230104
250,2021,1,3017053500,정림동,m,남성,3,수요일,5,야간,13809.18,1972.74,20230104
251,2021,1,3017053500,정림동,f,여성,4,목요일,1,출근,7997.69,3998.85,20230104
252,2021,1,3017053500,정림동,m,남성,4,목요일,1,출근,8267.23,4133.62,20230104
253,2021,1,3017053500,정림동,f,여성,4,목요일,2,주간,65834.53,7314.95,20230104
254,2021,1,3017053500,정림동,m,남성,4,목요일,2,주간,61791.2,6865.69,20230104
255,2021,1,3017053500,정림동,f,여성,4,목요일,3,퇴근,18139.93,9069.97,20230104
256,2021,1,3017053500,정림동,m,남성,4,목요일,3,퇴근,17462.17,8731.09,20230104
257,2021,1,3017053500,정림동,f,여성,4,목요일,4,저녁,36663.94,9165.98,20230104
258,2021,1,3017053500,정림동,m,남성,4,목요일,4,저녁,34358.12,8589.53,20230104
259,2021,1,3017053500,정림동,f,여성,4,목요일,5,야간,12725.8,1817.97,20230104
260,2021,1,3017053500,정림동,m,남성,4,목요일,5,야간,13541.23,1934.46,20230104
261,2021,1,3017053500,정림동,f,여성,5,금요일,1,출근,9925.82,4962.91,20230104
262,2021,1,3017053500,정림동,m,남성,5,금요일,1,출근,10235.78,5117.89,20230104
263,2021,1,3017053500,정림동,f,여성,5,금요일,2,주간,82112.03,9123.56,20230104
264,2021,1,3017053500,정림동,m,남성,5,금요일,2,주간,77607,8623,20230104
265,2021,1,3017053500,정림동,f,여성,5,금요일,3,퇴근,22178.94,11089.47,20230104
266,2021,1,3017053500,정림동,m,남성,5,금요일,3,퇴근,21968.3,10984.15,20230104
267,2021,1,3017053500,정림동,f,여성,5,금요일,4,저녁,45037.92,11259.48,20230104
268,2021,1,3017053500,정림동,m,남성,5,금요일,4,저녁,43251.78,10812.95,20230104
269,2021,1,3017053500,정림동,f,여성,5,금요일,5,야간,16620.03,2374.29,20230104
270,2021,1,3017053500,정림동,m,남성,5,금요일,5,야간,17693.26,2527.61,20230104
271,2021,1,3017053500,정림동,f,여성,6,토요일,1,출근,9425.4,4712.7,20230104
272,2021,1,3017053500,정림동,m,남성,6,토요일,1,출근,10583.97,5291.99,20230104
273,2021,1,3017053500,정림동,f,여성,6,토요일,2,주간,80947.75,8994.19,20230104
274,2021,1,3017053500,정림동,m,남성,6,토요일,2,주간,81834.11,9092.68,20230104
275,2021,1,3017053500,정림동,f,여성,6,토요일,3,퇴근,22380.38,11190.19,20230104
276,2021,1,3017053500,정림동,m,남성,6,토요일,3,퇴근,22962.13,11481.07,20230104
277,2021,1,3017053500,정림동,f,여성,6,토요일,4,저녁,44519.79,11129.95,20230104
278,2021,1,3017053500,정림동,m,남성,6,토요일,4,저녁,43603.6,10900.9,20230104
279,2021,1,3017053500,정림동,f,여성,6,토요일,5,야간,17744.84,2534.98,20230104
280,2021,1,3017053500,정림동,m,남성,6,토요일,5,야간,20504.23,2929.18,20230104
281,2021,1,3017054000,변동,f,여성,0,일요일,1,출근,13200.48,6600.24,20230104
