순번,기준년,기준월,행정동코드,행정동명,성별코드,성별,연령대코드,연령대,유동인구수,시간당 평균 유동인구수,데이터생성일자
3485,2021,08월,3017063000,둔산1동,m,남성,20,20대,471951.41,100065.96,2022-11-15
3486,2021,01월,3017058600,월평1동,m,남성,70,70세이상,68453.98,14726.62,2022-11-15
3487,2021,02월,3017055000,용문동,m,남성,40,40대,214597.56,46654.37,2022-11-15
3488,2021,12월,3017053000,도마2동,m,남성,20,20대,435458.63,93022.9,2022-11-15
3489,2021,03월,3017065000,만년동,f,여성,10,10대,120965.76,25684.39,2022-11-15
3490,2021,09월,3017058100,갈마1동,f,여성,40,40대,319009.73,70570.88,2022-11-15
3491,2021,09월,3017065000,만년동,f,여성,50,50대,342315.36,75090.5,2022-11-15
3492,2021,07월,3017058700,월평2동,m,남성,20,20대,381400.89,84367.06,2022-11-15
3493,2021,10월,3017054000,변동,m,남성,70,70세이상,166369.45,37055.58,2022-11-15
3494,2021,05월,3017063000,둔산1동,f,여성,20,20대,550363.48,115395.1,2022-11-15
3495,2021,07월,3017059000,가수원동,f,여성,10,10대,207305.33,45471.67,2022-11-15
3496,2021,12월,3017053500,정림동,m,남성,70,70세이상,111031.8,24170.29,2022-11-15
3497,2021,11월,3017052000,도마1동,m,남성,50,50대,318532.75,70134.05,2022-11-15
3498,2021,10월,3017064000,둔산2동,f,여성,30,30대,1448835.5,292396.69,2022-11-15
3499,2021,05월,3017051000,복수동,f,여성,70,70세이상,115678.94,25857.89,2022-11-15
3500,2021,05월,3017059600,관저1동,f,여성,20,20대,642498.32,141284.75,2022-11-15
3501,2021,03월,3017052000,도마1동,m,남성,30,30대,237545.65,52372.02,2022-11-15
3502,2021,02월,3017063000,둔산1동,m,남성,60,60대,201281.24,40638.16,2022-11-15
3503,2021,02월,3017056000,괴정동,m,남성,30,30대,541978.3,120785.23,2022-11-15
3504,2021,05월,3017064000,둔산2동,m,남성,20,20대,1615192.6,342761.69,2022-11-15
3505,2021,12월,3017059600,관저1동,m,남성,70,70세이상,156337.25,33445.1,2022-11-15
3506,2021,03월,3017052000,도마1동,f,여성,70,70세이상,162515.27,34414.16,2022-11-15
3507,2021,08월,3017064000,둔산2동,f,여성,0,9세이하,45805.81,9931.36,2022-11-15
3508,2021,02월,3017057500,내동,m,남성,40,40대,235383.33,53417.87,2022-11-15
3509,2021,11월,3017058800,월평3동,f,여성,70,70세이상,76691.27,16989.8,2022-11-15
3510,2021,02월,3017051000,복수동,f,여성,60,60대,211398.28,46993.27,2022-11-15
3511,2021,11월,3017058600,월평1동,f,여성,0,9세이하,8108.54,1808.68,2022-11-15
3512,2021,03월,3017054000,변동,m,남성,0,9세이하,27117.29,5859.86,2022-11-15
3513,2021,04월,3017058700,월평2동,f,여성,10,10대,124791.52,28468.5,2022-11-15
3514,2021,02월,3017065000,만년동,f,여성,70,70세이상,55359.97,11767.38,2022-11-15
3515,2021,10월,3017064000,둔산2동,m,남성,30,30대,1517822.89,314183.7,2022-11-15
3516,2021,12월,3017057500,내동,m,남성,40,40대,258914.52,58831.87,2022-11-15
3517,2021,09월,3017058800,월평3동,f,여성,10,10대,98637.29,22290.68,2022-11-15
3518,2021,08월,3017058800,월평3동,m,남성,0,9세이하,12942.83,2771.18,2022-11-15
3519,2021,06월,3017066000,둔산3동,f,여성,20,20대,190069.53,43351.37,2022-11-15
3520,2021,05월,3017065000,만년동,f,여성,70,70세이상,68307.51,14445.35,2022-11-15
3521,2021,12월,3017058800,월평3동,f,여성,60,60대,199384.36,44821.2,2022-11-15
3522,2021,11월,3017059000,가수원동,m,남성,70,70세이상,192568.02,41977.01,2022-11-15
3523,2021,03월,3017058600,월평1동,f,여성,0,9세이하,9066.45,2030.82,2022-11-15
3524,2021,02월,3017053500,정림동,m,남성,40,40대,153575.64,34281.87,2022-11-15
3525,2021,03월,3017058800,월평3동,m,남성,10,10대,148003.48,31169.02,2022-11-15
3526,2021,02월,3017053000,도마2동,f,여성,30,30대,187281.75,40886.84,2022-11-15
3527,2021,06월,3017055500,탄방동,f,여성,30,30대,1118749,234104.63,2022-11-15
3528,2021,03월,3017059000,가수원동,m,남성,30,30대,439496.18,96819.36,2022-11-15
3529,2021,09월,3017054000,변동,m,남성,50,50대,334032.73,74661.6,2022-11-15
3530,2021,07월,3017057000,가장동,m,남성,40,40대,198815.64,44452.71,2022-11-15
3531,2021,08월,3017065000,만년동,m,남성,70,70세이상,64066.1,13811.09,2022-11-15
3532,2021,09월,3017053500,정림동,m,남성,10,10대,78516.33,17776.57,2022-11-15
3533,2021,08월,3017058600,월평1동,f,여성,50,50대,264952.04,57592.42,2022-11-15
3534,2021,05월,3017064000,둔산2동,m,남성,70,70세이상,242097.19,49966.68,2022-11-15
3535,2021,08월,3017058200,갈마2동,m,남성,60,60대,234725.56,52276.86,2022-11-15
3536,2021,04월,3017066000,둔산3동,m,남성,20,20대,193546.74,43575.31,2022-11-15
3537,2021,12월,3017059600,관저1동,m,남성,60,60대,385332.4,84375.82,2022-11-15
3538,2021,05월,3017058100,갈마1동,f,여성,30,30대,344727.05,76564.45,2022-11-15
3539,2021,08월,3017059600,관저1동,m,남성,50,50대,527088.43,118591.69,2022-11-15
3540,2021,11월,3017057000,가장동,m,남성,50,50대,201335.16,45456.34,2022-11-15
3541,2021,04월,3017053500,정림동,m,남성,10,10대,81554.97,18305.28,2022-11-15
3542,2021,09월,3017052000,도마1동,f,여성,40,40대,252987.37,54399.51,2022-11-15
3543,2021,07월,3017058200,갈마2동,f,여성,10,10대,117166.78,25674.98,2022-11-15
3544,2021,07월,3017060000,기성동,m,남성,30,30대,24866.86,4491.94,2022-11-15
3545,2021,10월,3017058700,월평2동,f,여성,70,70세이상,140545.44,30112.53,2022-11-15
3546,2021,08월,3017057000,가장동,f,여성,10,10대,81292.52,18035.45,2022-11-15
3547,2021,10월,3017052000,도마1동,m,남성,60,60대,308997.34,66988.34,2022-11-15
3548,2021,08월,3017058700,월평2동,m,남성,60,60대,290873.62,64597.55,2022-11-15
3549,2021,12월,3017060000,기성동,m,남성,10,10대,3731.14,820.99,2022-11-15
3550,2021,02월,3017055500,탄방동,m,남성,20,20대,1102826.36,236280.12,2022-11-15
3551,2021,01월,3017055500,탄방동,f,여성,50,50대,1158809.02,243226.17,2022-11-15
3552,2021,07월,3017060000,기성동,m,남성,0,9세이하,529.42,91.83,2022-11-15
3553,2021,12월,3017066000,둔산3동,f,여성,10,10대,161449.3,35527.46,2022-11-15
3554,2021,03월,3017059600,관저1동,f,여성,0,9세이하,65860.78,14142.86,2022-11-15
3555,2021,01월,3017051000,복수동,f,여성,10,10대,194305.7,42578.68,2022-11-15
3556,2021,12월,3017055000,용문동,f,여성,0,9세이하,10733.32,2424.85,2022-11-15
3557,2021,02월,3017059000,가수원동,m,남성,40,40대,402758.19,88297.22,2022-11-15
3558,2021,05월,3017066000,둔산3동,f,여성,40,40대,341840.28,78981.04,2022-11-15
3559,2021,09월,3017059600,관저1동,m,남성,40,40대,511715.95,115833.86,2022-11-15
3560,2021,12월,3017058700,월평2동,f,여성,50,50대,409116.38,88885.3,2022-11-15
3561,2021,05월,3017053000,도마2동,m,남성,0,9세이하,17987.95,3736.33,2022-11-15
3562,2021,02월,3017060000,기성동,f,여성,0,9세이하,567.59,94.26,2022-11-15
3563,2021,11월,3017054000,변동,m,남성,60,60대,294194.76,65447,2022-11-15
3564,2021,12월,3017064000,둔산2동,f,여성,60,60대,774230.73,155581.3,2022-11-15
3565,2021,02월,3017059000,가수원동,f,여성,0,9세이하,30018.25,6528.71,2022-11-15
3566,2021,05월,3017058200,갈마2동,m,남성,10,10대,111677.8,24518.92,2022-11-15
3567,2021,11월,3017055500,탄방동,m,남성,70,70세이상,256405.99,54511.12,2022-11-15
3568,2021,07월,3017060000,기성동,f,여성,20,20대,11000.7,2019.88,2022-11-15
3569,2021,04월,3017058600,월평1동,m,남성,0,9세이하,10273.08,2339.75,2022-11-15
3570,2021,03월,3017055000,용문동,f,여성,20,20대,371374.13,82140.46,2022-11-15
3571,2021,06월,3017053000,도마2동,m,남성,60,60대,296269.34,65914.46,2022-11-15
3572,2021,09월,3017055000,용문동,f,여성,70,70세이상,145425.85,31540.26,2022-11-15
3573,2021,07월,3017058700,월평2동,f,여성,60,60대,289466.64,62600.85,2022-11-15
3574,2021,08월,3017056000,괴정동,m,남성,70,70세이상,152913.85,33593.64,2022-11-15
3575,2021,09월,3017055000,용문동,f,여성,10,10대,59816.51,13601.09,2022-11-15
3576,2021,05월,3017052000,도마1동,f,여성,50,50대,372827.58,79597.78,2022-11-15
3577,2021,10월,3017060000,기성동,f,여성,60,60대,37211.26,6293.46,2022-11-15
3578,2021,08월,3017055000,용문동,m,남성,40,40대,253630.78,55657.81,2022-11-15
3579,2021,05월,3017058700,월평2동,f,여성,30,30대,272082.34,59306.55,2022-11-15
3580,2021,01월,3017063000,둔산1동,m,남성,40,40대,516712.35,108877.63,2022-11-15
3581,2021,09월,3017057500,내동,f,여성,70,70세이상,153210.22,34053.35,2022-11-15
3582,2021,09월,3017066000,둔산3동,f,여성,0,9세이하,17828.46,3961.56,2022-11-15
3583,2021,04월,3017064000,둔산2동,m,남성,0,9세이하,39213.2,8587.04,2022-11-15
3584,2021,10월,3017053500,정림동,f,여성,0,9세이하,14589.85,3123.73,2022-11-15
3585,2021,09월,3017058600,월평1동,f,여성,50,50대,270428.58,58857.76,2022-11-15
3586,2021,11월,3017053000,도마2동,m,남성,30,30대,226372.85,49597.74,2022-11-15
3587,2021,04월,3017056000,괴정동,m,남성,20,20대,622334.2,140686.08,2022-11-15
3588,2021,06월,3017053000,도마2동,f,여성,20,20대,353635.41,74769.4,2022-11-15
3589,2021,07월,3017058700,월평2동,m,남성,60,60대,289089.52,64533.07,2022-11-15
3590,2021,08월,3017059000,가수원동,f,여성,30,30대,488118.05,105253.57,2022-11-15
3591,2021,06월,3017053500,정림동,m,남성,20,20대,165585.86,36785.35,2022-11-15
3592,2021,02월,3017056000,괴정동,m,남성,20,20대,600204.9,134706.21,2022-11-15
3593,2021,09월,3017053500,정림동,f,여성,40,40대,173535.44,38625.66,2022-11-15
3594,2021,02월,3017058100,갈마1동,m,남성,10,10대,124068.38,27576.47,2022-11-15
3595,2021,04월,3017059700,관저2동,f,여성,40,40대,1150848.78,258656.17,2022-11-15
3596,2021,08월,3017059600,관저1동,m,남성,20,20대,556505.8,122906.7,2022-11-15
3597,2021,02월,3017063000,둔산1동,f,여성,40,40대,501026.85,104375.76,2022-11-15
3598,2021,12월,3017052000,도마1동,m,남성,70,70세이상,175322.65,37548.21,2022-11-15
3599,2021,03월,3017059700,관저2동,m,남성,60,60대,502149.02,111917.43,2022-11-15
3600,2021,05월,3017065000,만년동,m,남성,50,50대,385045.91,84771.01,2022-11-15
3601,2021,06월,3017064000,둔산2동,f,여성,0,9세이하,49054.45,10735.99,2022-11-15
3602,2021,04월,3017059000,가수원동,f,여성,50,50대,537168.56,118192.91,2022-11-15
3603,2021,06월,3017051000,복수동,m,남성,60,60대,244263.06,55034.43,2022-11-15
3604,2021,10월,3017057000,가장동,m,남성,70,70세이상,123967.74,27275.43,2022-11-15
3605,2021,01월,3017059600,관저1동,m,남성,50,50대,483258.25,106497.52,2022-11-15
3606,2021,11월,3017057000,가장동,f,여성,20,20대,164176.35,36586.27,2022-11-15
3607,2021,06월,3017055000,용문동,m,남성,30,30대,319727.58,70616.86,2022-11-15
