사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2021011900100496,2021년 1월 19일 19시,화요일,대전광역시 서구 탄방동,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,35세,상해없음,보행자,여,25세,경상
2021011900100606,2021년 1월 19일 22시,화요일,대전광역시 서구 갈마동,경상사고,0,0,2,0,차대차 - 측면충돌,교차로운행방법위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,65세,상해없음,승용,남,37세,상해없음
2021012000100103,2021년 1월 20일 08시,수요일,대전광역시 서구 월평동,경상사고,0,0,1,1,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,여,49세,부상신고,승용,남,34세,경상
2021012000100217,2021년 1월 20일 11시,수요일,대전광역시 서구 내동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,70세,상해없음,보행자,남,78세,경상
2021012000100218,2021년 1월 20일 11시,수요일,대전광역시 서구 월평동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,28세,기타불명,승용,여,50세,경상
2021012000100356,2021년 1월 20일 15시,수요일,대전광역시 서구 도안동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,49세,상해없음,승용,남,26세,경상
2021012000100441,2021년 1월 20일 17시,수요일,대전광역시 서구 둔산동,중상사고,0,1,2,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,58세,상해없음,이륜,남,19세,중상
2021012000100573,2021년 1월 20일 19시,수요일,대전광역시 서구 관저동,경상사고,0,0,1,0,차대차 - 정면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,56세,상해없음,화물,남,50세,경상
2021012000100648,2021년 1월 20일 21시,수요일,대전광역시 서구 내동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,기타 - 기타,승용,여,54세,상해없음,보행자,남,32세,경상
2021012000100677,2021년 1월 20일 22시,수요일,대전광역시 서구 갈마동,경상사고,0,0,2,0,차대사람 - 길가장자리구역통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,41세,상해없음,보행자,남,55세,경상
2021012100100004,2021년 1월 21일 00시,목요일,대전광역시 서구 갈마동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,포장 - 건조,맑음,교차로 - 교차로안,기타불명,기타불명,미분류,기타불명,승용,남,67세,경상
2021012100100062,2021년 1월 21일 07시,목요일,대전광역시 서구 둔산동,경상사고,0,0,2,0,차대차 - 기타,안전거리미확보,포장 - 건조,흐림,단일로 - 기타,승용,여,53세,기타불명,승용,남,28세,기타불명
2021012100100085,2021년 1월 21일 08시,목요일,대전광역시 서구 갈마동,경상사고,0,0,2,0,차대차 - 측면충돌,교차로운행방법위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,55세,상해없음,승용,여,61세,경상
2021012100100374,2021년 1월 21일 17시,목요일,대전광역시 서구 가장동,경상사고,0,0,1,0,차대차 - 추돌,교차로운행방법위반,포장 - 젖음/습기,비,교차로 - 교차로안,승용,남,65세,상해없음,이륜,남,40세,경상
2021012100100434,2021년 1월 21일 18시,목요일,대전광역시 서구 월평동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 젖음/습기,비,교차로 - 교차로부근,기타불명,기타불명,미분류,기타불명,승용,남,63세,경상
2021012100100435,2021년 1월 21일 18시,목요일,대전광역시 서구 월평동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,55세,상해없음,보행자,여,27세,경상
