사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2021110200100350,2021년 11월 2일 15시,화요일,세종특별자치시 연기면,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승합,남,28세,상해없음,보행자,여,64세,중상
2021110200100498,2021년 11월 2일 18시,화요일,세종특별자치시 다정동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,56세,상해없음,이륜,남,26세,중상
2021110300100009,2021년 11월 3일 00시,수요일,세종특별자치시 조치원읍,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,53세,상해없음,이륜,남,16세,중상
2021110300100440,2021년 11월 3일 17시,수요일,세종특별자치시 조치원읍,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,74세,상해없음,승합,남,50세,상해없음
2021110400100389,2021년 11월 4일 16시,목요일,세종특별자치시 어진동,중상사고,0,2,0,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,여,36세,상해없음,승용,남,39세,중상
2021110600100310,2021년 11월 6일 14시,토요일,세종특별자치시 소담동,중상사고,0,1,0,0,차대차 - 기타,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,42세,상해없음,이륜,남,37세,중상
2021110600100483,2021년 11월 6일 18시,토요일,세종특별자치시 아름동,중상사고,0,1,0,0,차대차 - 기타,차로위반,포장 - 건조,맑음,단일로 - 기타,승용,여,30세,상해없음,이륜,남,32세,중상
2021110700100206,2021년 11월 7일 13시,일요일,세종특별자치시 조치원읍,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,화물,남,66세,상해없음,자전거,남,64세,경상
2021110800100384,2021년 11월 8일 15시,월요일,세종특별자치시 금남면,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,63세,경상,승용,여,46세,경상
2021110900100058,2021년 11월 9일 06시,화요일,세종특별자치시 보람동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 터널,화물,남,59세,상해없음,승용,남,51세,경상
2021110900100180,2021년 11월 9일 10시,화요일,세종특별자치시 조치원읍,중상사고,0,1,0,0,차대차 - 기타,교차로운행방법위반,포장 - 건조,맑음,교차로 - 교차로안,건설기계,남,66세,상해없음,승합,남,60세,상해없음
2021111000100222,2021년 11월 10일 11시,수요일,세종특별자치시 보람동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 젖음/습기,비,교차로 - 교차로안,승용,여,69세,상해없음,승용,남,41세,경상
2021111000100274,2021년 11월 10일 13시,수요일,세종특별자치시 조치원읍,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,47세,상해없음,승합,남,34세,경상
2021111000100639,2021년 11월 10일 23시,수요일,세종특별자치시 새롬동,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,39세,상해없음,이륜,남,50세,경상
2021111100100065,2021년 11월 11일 06시,목요일,세종특별자치시 어진동,경상사고,0,0,1,0,차대차 - 정면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승합,남,55세,상해없음,승용,남,48세,경상
2021111100100411,2021년 11월 11일 16시,목요일,세종특별자치시 고운동,부상신고사고,0,0,0,4,차대차 - 측면충돌,직진우회전진행방해,포장 - 젖음/습기,비,교차로 - 교차로안,화물,남,59세,상해없음,승용,여,34세,부상신고
2021111300100021,2021년 11월 13일 00시,토요일,세종특별자치시 조치원읍,경상사고,0,0,2,0,차대차 - 추돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,이륜,남,19세,상해없음,승용,남,69세,경상
2021111300100511,2021년 11월 13일 18시,토요일,세종특별자치시 부강면,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,여,49세,상해없음,승용,여,47세,중상
2021111500100448,2021년 11월 15일 17시,월요일,세종특별자치시 어진동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,49세,상해없음,이륜,남,36세,경상
